Code,Location,Registered,Envelopes,Valid,-,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
512231,Bělotín,1453,790,784,-,247,1,0,0,1,79,108,1,59,2,7,3,2,1,0,18,4,8,15,126,12,42,45,0,3
512281,Beňov,548,373,371,-,127,0,0,0,2,32,39,0,32,3,1,0,0,0,1,29,1,10,3,49,1,16,25,0,0
512401,Bezuchov,153,109,108,-,20,0,0,0,0,12,28,0,9,0,1,0,0,0,0,3,0,3,0,8,6,6,12,0,0
569178,Bohuslávky,262,163,162,-,63,0,0,0,0,24,19,0,18,1,0,0,0,0,1,3,0,1,2,15,1,8,6,0,0
512532,Bochoř,786,496,492,-,170,0,1,0,1,45,49,0,41,3,6,0,0,1,0,12,1,14,2,71,6,26,42,1,0
512800,Brodek u Přerova,1620,963,958,-,315,2,0,0,2,96,135,2,58,5,4,1,0,2,1,22,0,13,9,109,20,103,59,0,0
512826,Buk,310,213,211,-,92,0,0,0,0,20,13,0,14,0,2,0,0,0,0,8,2,1,2,26,5,12,14,0,0
512877,Býškovice,318,220,219,-,78,0,0,1,0,18,32,0,7,0,1,0,0,2,1,8,1,0,1,32,0,13,23,0,1
569135,Císařov,252,162,161,-,65,0,0,0,0,9,31,0,7,0,3,0,0,1,0,2,0,2,2,23,2,7,7,0,0
512982,Citov,457,314,313,-,93,1,0,0,0,26,48,0,14,0,5,1,0,4,2,10,0,10,2,42,9,34,12,0,0
552771,Čechy,287,163,161,-,56,0,0,0,0,15,19,1,15,1,0,1,0,1,0,4,0,1,1,18,6,11,10,0,1
513059,Čelechovice,94,67,67,-,30,1,0,0,0,2,5,0,5,1,0,0,0,0,1,5,0,1,0,8,2,6,0,0,0
513067,Černotín,654,439,439,-,145,0,0,0,1,41,83,0,34,0,4,1,0,0,3,15,2,4,9,32,8,31,25,0,1
513105,Dobrčice,184,119,118,-,28,0,0,0,0,5,9,0,10,1,1,2,0,1,1,8,0,2,2,17,7,19,5,0,0
569259,Dolní Nětčice,206,121,119,-,37,0,0,0,0,19,21,0,3,0,0,0,0,2,0,3,1,2,0,12,3,8,8,0,0
552984,Dolní Těšice,49,41,41,-,10,0,0,0,1,4,9,1,1,0,0,0,0,1,1,1,0,0,0,4,1,5,2,0,0
513199,Dolní Újezd,984,614,611,-,224,1,0,0,3,60,68,1,40,8,6,1,0,3,0,32,2,6,2,77,23,28,24,0,2
513211,Domaželice,443,278,275,-,88,1,0,0,0,25,25,0,18,1,0,0,0,2,1,13,0,5,4,52,2,13,23,0,2
513229,Dřevohostice,1171,674,669,-,258,1,1,0,1,60,65,0,47,3,4,1,0,3,0,27,1,6,2,103,9,51,26,0,0
569194,Grymov,134,87,87,-,41,0,0,0,0,4,6,0,7,2,0,0,0,0,0,4,0,2,2,5,1,6,7,0,0
569267,Hlinsko,181,119,119,-,38,0,0,0,0,18,21,0,7,1,1,0,0,1,0,7,0,1,0,16,1,4,3,0,0
513491,Horní Moštěnice,1349,859,856,-,276,0,0,2,0,62,64,1,85,2,7,0,0,0,3,32,2,20,7,128,22,75,63,1,4
569275,Horní Nětčice,180,111,110,-,37,0,0,0,0,15,16,0,5,0,1,0,0,0,0,3,0,0,0,15,0,8,10,0,0
552968,Horní Těšice,131,97,97,-,34,0,0,0,0,7,18,0,7,1,2,0,0,0,0,1,2,0,1,10,0,4,9,0,1
569542,Horní Újezd,351,251,250,-,88,0,0,0,0,9,36,0,15,2,2,0,0,3,0,13,0,2,0,36,0,15,28,0,1
513636,Hrabůvka,245,167,166,-,60,1,0,0,0,18,15,0,7,0,2,1,0,1,1,14,1,0,3,12,4,9,17,0,0
513733,Hradčany,233,151,150,-,38,0,0,0,1,17,29,0,4,0,3,0,0,0,1,6,1,1,2,20,2,16,9,0,0
513750,Hranice,14851,8576,8529,-,2675,8,5,12,14,826,703,47,786,31,52,9,10,17,8,246,38,144,79,1200,281,752,570,5,11
513768,Hustopeče nad Bečvou,1400,945,939,-,317,1,6,1,2,61,238,0,54,2,8,1,1,2,1,25,1,9,3,70,19,62,54,0,1
556998,Jezernice,553,327,325,-,114,0,0,1,0,21,25,0,38,1,2,0,0,2,2,14,7,2,3,34,3,26,30,0,0
513873,Jindřichov,379,265,264,-,84,2,1,0,2,24,67,0,17,0,1,0,0,0,2,9,1,2,2,13,7,13,16,0,1
569283,Kladníky,112,69,69,-,24,0,0,0,0,5,12,1,1,0,1,0,0,0,0,2,0,0,0,18,1,1,3,0,0
514047,Klokočí,203,151,149,-,38,0,0,1,0,17,15,0,12,0,1,0,0,0,1,8,2,8,0,12,7,14,13,0,0
514055,Kojetín,4925,2544,2531,-,843,3,1,3,7,260,171,4,223,13,13,0,3,3,10,68,12,22,22,386,49,184,225,0,6
514152,Kokory,881,581,575,-,178,1,0,0,0,55,99,2,34,0,1,1,0,2,0,13,2,5,2,93,9,40,37,0,1
